seed,profile,ants_requested,pre_days,post_days,adaptation_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
1,low,240,4,4,0.5,initial_food,960,180,84,414,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1869853710,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,422,1953,24,0,0,89,90,0.018,240,0,25.9,59.2,0.24,84,0,84,414,0,21,0,0,0,205,1,0,0,0,34,0,33,141,0,24,0,0,0,0,0,34,33698,0,23934,0,0,0
1,low,240,4,4,0.5,relocated_early,220,620,17,89,4.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2030900079,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,1,0,0,1,0,0,0,508,1950,8,0,0,89,90,0.018,240,0,25.9,59,0.25,101,0,101,503,0,22.444,0,0,0,206,0,0,0,0,34,0,98,66,0,8,0,0,0,0,0,34,24214,0,28122,0,0,0
1,low,240,4,4,0.5,relocated_late,220,620,109,544,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,613003139,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,155,52,34,0,0,0,0,0,0,0,1039,1924,79,0,0,90,90,0.0181,240,0,26,58.2,0.27,210,0,210,1047,0,26.25,0,0,0,207,0,0,0,0,34,0,12,112,0,79,0,0,0,0,0,34,77360,0,21417,0,0,0
1,low,240,4,4,0.5,relocated_total,220,620,126,633,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,613003139,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,155,52,34,0,0,0,0,0,0,0,1039,1924,79,0,0,90,90,0.0181,240,0,26,58.2,0.27,210,0,210,1047,0,26.25,0,0,0,207,0,0,0,0,34,0,12,112,0,79,0,0,0,0,0,34,77360,0,21417,0,0,0
2,low,240,4,4,0.5,initial_food,960,180,138,669,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3596113554,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,685,1959,56,0,0,91,89,0.018,240,0,25.9,59.2,0.24,138,0,138,669,0,34.5,0,0,0,203,1,0,0,0,36,0,18,121,0,56,0,0,0,0,0,36,45655,0,23679,0,0,0
2,low,240,4,4,0.5,relocated_early,220,620,52,270,4.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2931603993,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,1,0,0,1,0,0,0,953,1954,5,0,0,92,90,0.018,240,0,25.9,59,0.25,190,0,190,939,0,42.222,0,0,0,203,1,0,0,0,36,0,32,97,0,5,0,0,0,0,0,36,29051,0,28252,0,0,0
2,low,240,4,4,0.5,relocated_late,220,620,94,452,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,792291918,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,1,0,1,0,0,0,1399,1934,55,0,0,91,89,0.018,240,0,26,58.2,0.27,284,0,284,1391,0,35.5,0,0,0,204,0,0,0,0,36,0,65,73,0,55,0,0,0,0,0,36,30215,0,27269,0,0,0
2,low,240,4,4,0.5,relocated_total,220,620,146,722,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,792291918,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,1,0,1,0,0,0,1399,1934,55,0,0,91,89,0.018,240,0,26,58.2,0.27,284,0,284,1391,0,35.5,0,0,0,204,0,0,0,0,36,0,65,73,0,55,0,0,0,0,0,36,30215,0,27269,0,0,0
3,low,240,4,4,0.5,initial_food,960,180,167,799,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,963279577,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,807,1951,92,0,0,93,91,0.018,240,0,25.9,59.2,0.24,167,0,167,799,0,41.75,0,0,0,217,0,0,0,0,23,0,28,91,0,92,0,0,0,0,0,23,36052,0,20963,0,0,0
3,low,240,4,4,0.5,relocated_early,220,620,76,389,4.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1266070175,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,1,0,0,1,0,0,0,1193,1946,19,0,0,94,91,0.018,240,0,25.9,59,0.25,243,0,243,1188,0,54,0,0,0,217,0,0,0,0,23,0,62,61,0,19,0,0,0,0,0,23,35582,0,25209,0,0,0
3,low,240,4,4,0.5,relocated_late,220,620,206,1032,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,117687823,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,163,54,24,0,0,0,0,0,0,0,2217,1923,73,0,0,94,91,0.0182,240,0,26,58.2,0.27,449,0,449,2220,0,56.125,0,0,0,217,0,0,0,0,24,0,64,78,0,73,0,0,0,0,0,24,23813,0,26799,0,0,0
3,low,240,4,4,0.5,relocated_total,220,620,282,1421,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,117687823,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,163,54,24,0,0,0,0,0,0,0,2217,1923,73,0,0,94,91,0.0182,240,0,26,58.2,0.27,449,0,449,2220,0,56.125,0,0,0,217,0,0,0,0,24,0,64,78,0,73,0,0,0,0,0,24,23813,0,26799,0,0,0
4,low,240,4,4,0.5,initial_food,960,180,162,824,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1306695976,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,0,0,0,0,0,0,833,1952,61,0,0,92,91,0.018,240,0,25.9,59.2,0.24,162,0,162,824,0,40.5,0,0,0,211,1,0,0,0,28,0,19,123,0,61,0,0,0,0,0,28,34854,0,23282,0,0,0
4,low,240,4,4,0.5,relocated_early,220,620,61,302,4.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2935633132,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,1,0,0,1,0,0,0,1133,1948,0,0,0,92,91,0.018,240,0,25.9,59,0.24,223,0,223,1126,0,49.556,0,0,0,212,0,0,0,0,28,0,85,65,0,0,0,0,0,0,0,28,20708,0,28755,0,0,0
4,low,240,4,4,0.5,relocated_late,220,620,94,481,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,4257210691,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,159,54,28,0,0,0,0,0,0,0,1605,1925,68,0,0,91,91,0.0182,240,0,26,58.2,0.27,317,0,317,1607,0,39.625,0,0,0,213,0,0,0,0,28,0,30,109,0,68,0,0,0,0,0,28,52021,0,25478,0,0,0
4,low,240,4,4,0.5,relocated_total,220,620,155,783,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,4257210691,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,159,54,28,0,0,0,0,0,0,0,1605,1925,68,0,0,91,91,0.0182,240,0,26,58.2,0.27,317,0,317,1607,0,39.625,0,0,0,213,0,0,0,0,28,0,30,109,0,68,0,0,0,0,0,28,52021,0,25478,0,0,0
5,low,240,4,4,0.5,initial_food,960,180,107,540,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,4272440631,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,161,47,32,0,0,0,0,0,0,0,556,1956,62,0,0,90,89,0.018,240,0,25.9,59.2,0.24,107,0,107,540,0,26.75,0,0,0,185,23,0,0,0,32,0,11,123,0,62,0,0,0,0,0,32,74626,0,21456,0,0,0
5,low,240,4,4,0.5,relocated_early,220,620,50,249,4.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2029398958,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,161,47,32,1,0,0,1,0,0,0,802,1950,14,0,0,91,90,0.018,240,0,25.9,59,0.24,157,0,157,789,0,34.889,0,0,0,203,5,0,0,0,32,0,18,97,0,14,0,0,0,0,0,32,56309,0,26036,0,0,0
5,low,240,4,4,0.5,relocated_late,220,620,168,845,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,888400725,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,162,47,32,0,0,0,0,0,0,0,1636,1923,77,0,0,93,90,0.0182,240,0,26,58.2,0.27,325,0,325,1634,0,40.625,0,0,0,209,0,0,0,0,32,0,41,84,0,77,0,0,0,0,0,32,39831,0,24082,0,0,0
5,low,240,4,4,0.5,relocated_total,220,620,218,1094,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,888400725,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,162,47,32,0,0,0,0,0,0,0,1636,1923,77,0,0,93,90,0.0182,240,0,26,58.2,0.27,325,0,325,1634,0,40.625,0,0,0,209,0,0,0,0,32,0,41,84,0,77,0,0,0,0,0,32,39831,0,24082,0,0,0
6,low,240,4,4,0.5,initial_food,960,180,76,374,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,706415802,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,60,28,0,0,0,0,0,0,0,389,1955,68,0,0,89,89,0.018,240,0,25.9,59.2,0.24,76,0,76,374,0,19,0,0,0,165,47,0,0,0,28,0,6,132,0,68,0,0,0,0,0,28,87136,0,21359,0,0,0
6,low,240,4,4,0.5,relocated_early,220,620,30,150,4.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3164245567,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,60,28,1,0,0,1,0,0,0,535,1948,38,0,0,90,90,0.018,240,0,25.9,59,0.25,106,0,106,524,0,23.556,0,0,0,182,30,0,0,0,28,0,16,72,0,38,0,0,0,0,0,28,76120,0,24966,0,0,0
